Código Projeto,Setor,Valor Orçado,Valor Negociado,Desconto Concedido,Data Ativação Lead,Data Início,Data Termino,Cod Responsavel,Status
PA-0039,Produção,R$ 13700.00,R$ 13700.00,R$ 0.00,23.1.2016,,,3,Aguardando NF
PA-0040,Marketing,R$ 4700.00,R$ 3800.00,R$ 900.00,24.1.2016,,,2,Prospecção
PA-0041,financeiro,R$ 26100.00,R$ 18300.00,R$ 7800.00,24.1.2016,,,10,Prospecção
PA-0042,TI,R$ 26000.00,R$ 26000.00,R$ 0.00,24.1.2016,,,3,Prospecção
PA-0043,TI,R$ 31700.00,R$ 25400.00,R$ 6300.00,24.1.2016,,,6,Em negociação
PA-0044,Marketing,R$ 12200.00,R$ 12200.00,R$ 0.00,24.1.2016,,,3,Em negociação
PA-0045,Comercial,R$ 4300.00,R$ 3000.00,R$ 1300.00,25.1.2016,1.3.2016,,6,Em andamento
PA-0046,TI,R$ 30200.00,R$ 30200.00,R$ 0.00,25.1.2016,,,1,Em negociação
PA-0047,Marketing,R$ 37800.00,R$ 34000.00,R$ 3800.00,26.1.2016,,,3,Aguardando NF
PA-0048,Compras,R$ 25400.00,R$ 25400.00,R$ 0.00,27.1.2016,,,2,Em negociação
PA-0049,Comercial,R$ 38000.00,R$ 34200.00,R$ 3800.00,28.1.2016,,,3,Prospecção
PA-0050,Logística,R$ 36200.00,R$ 36200.00,R$ 0.00,29.1.2016,,,1,Prospecção
PA-0051,Comercial,R$ 6000.00,R$ 6000.00,R$ 0.00,30.1.2016,,,9,AGUARDANDO NF
PA-0052,TI,R$ 10000.00,R$ 10000.00,R$ 0.00,31.1.2016,,,10,Prospecção
PA-0053,Compras,R$ 7600.00,R$ 7600.00,R$ 0.00,1.2.2016,26.3.2016,6.5.2016,8,Finalizado
PA-0054,Comercial,R$ 12700.00,R$ 12700.00,R$ 0.00,1.2.2016,,,4,Em negociação
PA-0055,Financeiro,R$ 11800.00,R$ 9400.00,R$ 2400.00,2.2.2016,11.4.2016,,9,Em andamento
PA-0056,Marketing,R$ 20600.00,R$ 18500.00,R$ 2100.00,2.2.2016,,,10,Aguardando NF
PA-0057,Compras,R$ 5000.00,R$ 5000.00,R$ 0.00,3.2.2016,,,1,Aguardando NF
PA-0058,Comercial,R$ 16200.00,R$ 11300.00,R$ 4900.00,4.2.2016,16.3.2016,6.6.2016,5,Finalizado
PA-0059,Marketing,R$ 6200.00,R$ 6200.00,R$ 0.00,5.2.2016,,,6,Prospecção
PA-0060,Financeiro,R$ 28900.00,R$ 23100.00,R$ 5800.00,6.2.2016,,,5,Prospecção
PA-0061,PRODUÇÃO,R$ 22800.00,R$ 16000.00,R$ 6800.00,7.2.2016,,,2,Prospecção
PA-0062,Compras,R$ 10100.00,R$ 10100.00,R$ 0.00,8.2.2016,,,3,Prospecção
PA-0063,Produção,R$ 28400.00,R$ 28400.00,R$ 0.00,9.2.2016,,,3,Aguardando NF
PA-0064,Logística,R$ 22500.00,R$ 15800.00,R$ 6700.00,10.2.2016,,,5,Prospecção
PA-0065,TI,R$ 22500.00,R$ 22500.00,R$ 0.00,11.2.2016,17.3.2016,,4,Em andamento
PA-0066,TI,R$ 20500.00,R$ 16400.00,R$ 4100.00,12.2.2016,,,7,Prospecção
PA-0067,Marketing,R$ 33000.00,R$ 23100.00,R$ 9900.00,13.2.2016,23.4.2016,,8,Em andamento
PA-0068,Logística,R$ 7900.00,R$ 7900.00,R$ 0.00,14.2.2016,,,6,Prospecção
PA-0069,Financeiro,R$ 7900.00,R$ 5500.00,R$ 2400.00,15.2.2016,,,9,Em negociação
PA-0070,Marketing,R$ 8700.00,R$ 8700.00,R$ 0.00,15.2.2016,,,3,Em negociação
PA-0071,TI,R$ 15200.00,R$ 12200.00,R$ 3000.00,16.2.2016,,,2,Em negociação
PA-0072,Compras,R$ 31900.00,R$ 28700.00,R$ 3200.00,17.2.2016,26.3.2016,,1,Em andamento
PA-0073,TI,R$ 25700.00,R$ 25700.00,R$ 0.00,17.2.2016,,,5,Prospecção
PA-0074,Compras,R$ 3000.00,R$ 3000.00,R$ 0.00,18.2.2016,,,5,Prospecção
PA-0075,Logística,R$ 11100.00,R$ 8900.00,R$ 2200.00,19.2.2016,,,10,Em negociação
PA-0076,Logística,R$ 31000.00,R$ 31000.00,R$ 0.00,19.2.2016,,,10,Em negociação
PA-0077,TI,R$ 8100.00,R$ 8100.00,R$ 0.00,20.2.2016,,,6,Aguardando NF
PA-0078,Logística,R$ 36600.00,R$ 25600.00,R$ 11000.00,20.2.2016,,,2,Em negociação
PA-0079,TI,R$ 8200.00,R$ 7400.00,R$ 800.00,21.2.2016,18.3.2016,,1,Em andamento
PA-0080,Comercial,R$ 5300.00,R$ 5300.00,R$ 0.00,22.2.2016,,,1,Em negociação
PA-0081,financeiro,R$ 27200.00,R$ 19000.00,R$ 8200.00,23.2.2016,19.3.2016,,8,Em andamento
PA-0082,Financeiro,R$ 9500.00,R$ 9500.00,R$ 0.00,24.2.2016,,,2,Aguardando NF
PA-0083,Logística,R$ 31700.00,R$ 31700.00,R$ 0.00,24.2.2016,,,4,Prospecção
PA-0084,Financeiro,R$ 22200.00,R$ 20000.00,R$ 2200.00,25.2.2016,,,5,Em negociação
PA-0085,Produção,R$ 9600.00,R$ 9600.00,R$ 0.00,26.2.2016,,,4,Em negociação
PA-0086,Logística,R$ 20000.00,R$ 16000.00,R$ 4000.00,27.2.2016,,,6,Aguardando NF
PA-0087,Financeiro,R$ 19300.00,R$ 13500.00,R$ 5800.00,27.2.2016,21.3.2016,,10,Em andamento
PA-0088,Marketing,R$ 9000.00,R$ 8100.00,R$ 900.00,28.2.2016,,,7,Prospecção
PA-0089,RH,R$ 25700.00,R$ 23100.00,R$ 2600.00,29.2.2016,,,2,Em negociação
PA-0090,Comercial,R$ 16500.00,R$ 16500.00,R$ 0.00,1.3.2016,,,5,Prospecção
PA-0091,MARKETING,R$ 5100.00,R$ 5100.00,R$ 0.00,2.3.2016,,,7,Prospecção
PA-0092,Marketing,R$ 32700.00,R$ 32700.00,R$ 0.00,3.3.2016,,,9,Em negociação
PA-0093,Marketing,R$ 34100.00,R$ 23900.00,R$ 10200.00,4.3.2016,,,7,Aguardando NF
PA-0094,Marketing,R$ 34200.00,R$ 27400.00,R$ 6800.00,4.3.2016,,,4,Em negociação
PA-0095,TI,R$ 24200.00,R$ 24200.00,R$ 0.00,5.3.2016,,,4,Prospecção
PA-0096,Financeiro,R$ 11700.00,,R$ 2300.00,6.3.2016,20.4.2016,25.9.2016,4,Finalizado
PA-0097,Comercial,R$ 10700.00,R$ 7500.00,R$ 3200.00,6.3.2016,30.3.2016,,10,Em andamento
PA-0098,Marketing,R$ 6600.00,R$ 6600.00,R$ 0.00,6.3.2016,,,9,Aguardando NF
PA-0099,TI,R$ 35800.00,R$ 28600.00,R$ 7200.00,7.3.2016,8.5.2016,29.7.2016,7,Finalizado
PA-0100,Logística,R$ 7200.00,R$ 7200.00,R$ 0.00,8.3.2016,16.4.2016,,10,Em andamento
PA-0101,Logística,R$ 35500.00,R$ 24900.00,R$ 10600.00,8.3.2016,,,2,AGUARDANDO NF
PA-0102,Marketing,R$ 24800.00,R$ 24800.00,R$ 0.00,8.3.2016,,,5,Prospecção
PA-0103,Logística,R$ 17900.00,R$ 12500.00,R$ 5400.00,8.3.2016,,,7,Aguardando NF
PA-0104,Logística,R$ 35600.00,R$ 35600.00,R$ 0.00,8.3.2016,,,4,Aguardando NF
PA-0105,Produção,R$ 4700.00,R$ 4700.00,R$ 0.00,8.3.2016,,,4,Prospecção
PA-0106,TI,R$ 18000.00,R$ 18000.00,R$ 0.00,8.3.2016,10.4.2016,28.9.2016,3,Finalizado
PA-0107,Marketing,R$ 29600.00,R$ 23700.00,R$ 5900.00,9.3.2016,,,3,Prospecção
PA-0108,Financeiro,R$ 19400.00,R$ 19400.00,R$ 0.00,10.3.2016,30.4.2016,,10,Em andamento
PA-0109,TI,R$ 11100.00,R$ 11100.00,R$ 0.00,11.3.2016,,,2,Aguardando NF
PA-0110,Marketing,R$ 28400.00,R$ 25600.00,R$ 2800.00,11.3.2016,,,6,Prospecção
PA-0111,Produção,R$ 6600.00,R$ 6600.00,R$ 0.00,12.3.2016,,,6,Aguardando NF
PA-0112,TI,R$ 18300.00,R$ 18300.00,R$ 0.00,12.3.2016,,,8,Prospecção
PA-0113,Logística,R$ 29600.00,R$ 29600.00,R$ 0.00,13.3.2016,,,1,Aguardando NF
PA-0114,Logística,R$ 25600.00,R$ 25600.00,R$ 0.00,14.3.2016,,,3,Prospecção
PA-0115,Financeiro,R$ 8400.00,R$ 8400.00,R$ 0.00,14.3.2016,,,8,Em negociação
PA-0116,Financeiro,R$ 31300.00,R$ 31300.00,R$ 0.00,14.3.2016,,,3,Prospecção
PA-0117,TI,R$ 34300.00,R$ 34300.00,R$ 0.00,14.3.2016,,,7,Prospecção
PA-0118,Marketing,R$ 3900.00,R$ 3900.00,R$ 0.00,15.3.2016,,,5,Aguardando NF
PA-0119,Comercial,R$ 29500.00,R$ 29500.00,R$ 0.00,16.3.2016,,,10,Aguardando NF
PA-0120,TI,R$ 26500.00,R$ 18600.00,R$ 7900.00,16.3.2016,,,7,Em negociação
PA-0121,ti,R$ 8500.00,R$ 8500.00,R$ 0.00,17.3.2016,,,8,Em negociação
PA-0122,TI,R$ 23900.00,R$ 23900.00,R$ 0.00,18.3.2016,,,4,Aguardando NF
PA-0123,Comercial,R$ 14700.00,R$ 10300.00,R$ 4400.00,18.3.2016,15.4.2016,,6,Em andamento
PA-0124,Logística,R$ 7600.00,R$ 7600.00,R$ 0.00,19.3.2016,26.5.2016,,2,Em andamento
PA-0125,TI,R$ 6500.00,R$ 6500.00,R$ 0.00,20.3.2016,,,3,Em negociação
PA-0126,Marketing,R$ 32600.00,R$ 32600.00,R$ 0.00,21.3.2016,,,7,Prospecção
PA-0127,TI,R$ 31100.00,R$ 31100.00,R$ 0.00,22.3.2016,,,2,Prospecção
PA-0128,Logística,R$ 37500.00,R$ 26300.00,R$ 11200.00,23.3.2016,,,8,Em negociação
PA-0129,Comercial,R$ 8400.00,R$ 8400.00,R$ 0.00,23.3.2016,26.4.2016,,8,Em andamento
PA-0130,Produção,R$ 30100.00,R$ 30100.00,R$ 0.00,23.3.2016,,,6,Prospecção
PA-0131,Logística,R$ 32100.00,R$ 32100.00,,24.3.2016,,,5,Prospecção
PA-0132,Comercial,R$ 5700.00,R$ 5700.00,R$ 0.00,24.3.2016,,,7,Prospecção
PA-0133,Compras,R$ 3700.00,R$ 3700.00,R$ 0.00,24.3.2016,23.4.2016,,3,Em andamento
PA-0134,Marketing,R$ 7000.00,R$ 6300.00,R$ 700.00,24.3.2016,,,8,Prospecção
PA-0135,TI,R$ 32300.00,R$ 32300.00,R$ 0.00,24.3.2016,17.4.2016,13.10.2016,7,Finalizado
PA-0136,TI,R$ 4500.00,R$ 4500.00,R$ 0.00,24.3.2016,,,9,Aguardando NF
PA-0137,TI,R$ 9500.00,R$ 7600.00,R$ 1900.00,25.3.2016,,,1,Prospecção
PA-0138,Logística,R$ 26500.00,R$ 26500.00,R$ 0.00,25.3.2016,,,5,Prospecção
PA-0139,Financeiro,R$ 13200.00,R$ 13200.00,R$ 0.00,26.3.2016,,,2,Prospecção
PA-0140,Financeiro,R$ 28000.00,R$ 28000.00,R$ 0.00,27.3.2016,,,3,Aguardando NF
PA-0141,Comercial,R$ 6800.00,R$ 6100.00,R$ 700.00,27.3.2016,,,10,Aguardando NF
PA-0142,Comercial,R$ 13500.00,R$ 10800.00,R$ 2700.00,28.3.2016,25.5.2016,,8,Em andamento
PA-0143,Logística,R$ 34700.00,R$ 24300.00,R$ 10400.00,28.3.2016,,,5,Prospecção
PA-0144,TI,R$ 31200.00,R$ 28100.00,R$ 3100.00,29.3.2016,,,2,Em negociação
PA-0145,Logística,R$ 30800.00,R$ 30800.00,R$ 0.00,29.3.2016,,,1,Aguardando NF
PA-0146,Financeiro,R$ 13000.00,R$ 9100.00,R$ 3900.00,30.3.2016,,,6,Prospecção
PA-0147,Marketing,R$ 9500.00,R$ 9500.00,R$ 0.00,30.3.2016,,,4,Aguardando NF
PA-0148,TI,R$ 12700.00,R$ 11400.00,R$ 1300.00,31.3.2016,,,10,Prospecção
PA-0149,Financeiro,R$ 37600.00,R$ 37600.00,R$ 0.00,31.3.2016,,,6,Aguardando NF
PA-0150,Comercial,R$ 5000.00,R$ 5000.00,R$ 0.00,31.3.2016,,,5,Aguardando NF
PA-0151,TI,R$ 26000.00,R$ 26000.00,R$ 0.00,31.3.2016,,,4,PROSPECÇÃO
PA-0152,Comercial,R$ 20600.00,R$ 18500.00,R$ 2100.00,31.3.2016,,,9,Em negociação
PA-0153,Compras,R$ 14000.00,R$ 9800.00,R$ 4200.00,31.3.2016,,,8,Aguardando NF
PA-0154,Comercial,R$ 5000.00,R$ 5000.00,R$ 0.00,1.4.2016,,,1,Prospecção
PA-0155,Logística,R$ 27000.00,R$ 27000.00,R$ 0.00,2.4.2016,,,6,Aguardando NF
PA-0156,Marketing,R$ 17900.00,R$ 17900.00,R$ 0.00,2.4.2016,,,10,Prospecção
PA-0157,TI,R$ 35200.00,R$ 31700.00,R$ 3500.00,3.4.2016,24.5.2016,9.8.2016,9,Finalizado
PA-0158,Marketing,R$ 12800.00,R$ 12800.00,R$ 0.00,3.4.2016,,,8,Em negociação
PA-0159,TI,R$ 19400.00,R$ 19400.00,R$ 0.00,4.4.2016,,,5,Prospecção
PA-0160,Financeiro,R$ 10400.00,R$ 10400.00,R$ 0.00,5.4.2016,7.5.2016,,7,Em andamento
PA-0161,comercial,R$ 27500.00,R$ 27500.00,R$ 0.00,6.4.2016,27.5.2016,,9,Em andamento
PA-0162,Produção,R$ 17500.00,R$ 17500.00,R$ 0.00,6.4.2016,,,2,Prospecção
PA-0163,Marketing,R$ 29900.00,R$ 29900.00,R$ 0.00,7.4.2016,,,10,Prospecção
PA-0164,Marketing,R$ 14200.00,R$ 14200.00,R$ 0.00,8.4.2016,5.6.2016,2.7.2016,4,Finalizado
PA-0165,Financeiro,R$ 21500.00,R$ 15100.00,R$ 6400.00,8.4.2016,,,5,Prospecção
PA-0166,Financeiro,R$ 30600.00,R$ 30600.00,R$ 0.00,8.4.2016,,,5,Aguardando NF
PA-0167,Financeiro,R$ 31100.00,R$ 31100.00,R$ 0.00,8.4.2016,,,2,Em negociação
PA-0168,RH,R$ 22900.00,R$ 22900.00,R$ 0.00,8.4.2016,,,8,Prospecção
PA-0169,TI,R$ 23300.00,R$ 23300.00,R$ 0.00,9.4.2016,,,6,Prospecção
PA-0170,Marketing,R$ 27600.00,R$ 27600.00,R$ 0.00,9.4.2016,22.5.2016,14.9.2016,2,Finalizado
PA-0171,TI,R$ 23300.00,R$ 18600.00,R$ 4700.00,9.4.2016,,,5,Em negociação
PA-0172,Compras,R$ 15800.00,R$ 11100.00,R$ 4700.00,9.4.2016,,,3,Prospecção
PA-0173,TI,R$ 28900.00,R$ 28900.00,R$ 0.00,9.4.2016,,,6,Prospecção
PA-0174,Comercial,R$ 4900.00,R$ 3900.00,R$ 1000.00,9.4.2016,,,8,Prospecção
PA-0175,Financeiro,R$ 35400.00,R$ 31900.00,R$ 3500.00,10.4.2016,17.6.2016,,5,Em andamento
PA-0176,RH,R$ 11000.00,R$ 11000.00,R$ 0.00,10.4.2016,,,10,Aguardando NF
PA-0177,Comercial,R$ 15200.00,R$ 15200.00,R$ 0.00,11.4.2016,,,7,Prospecção
PA-0178,Marketing,R$ 4400.00,R$ 4400.00,R$ 0.00,12.4.2016,,,8,Prospecção
PA-0179,TI,R$ 3300.00,R$ 3300.00,R$ 0.00,13.4.2016,,,9,Prospecção
PA-0180,Financeiro,R$ 18000.00,R$ 14400.00,R$ 3600.00,13.4.2016,,,6,Em negociação
PA-0181,MARKETING,R$ 6000.00,R$ 5400.00,R$ 600.00,13.4.2016,,,6,Aguardando NF
PA-0182,Marketing,R$ 10000.00,R$ 9000.00,R$ 1000.00,13.4.2016,11.5.2016,,5,Em andamento
PA-0183,TI,R$ 5200.00,R$ 4700.00,R$ 500.00,13.4.2016,21.6.2016,,5,Em andamento
PA-0184,Comercial,R$ 6200.00,R$ 5600.00,R$ 600.00,13.4.2016,,,5,Aguardando NF
PA-0185,Marketing,R$ 35900.00,R$ 32300.00,R$ 3600.00,14.4.2016,,,3,Prospecção
PA-0186,TI,R$ 6000.00,R$ 4800.00,R$ 1200.00,14.4.2016,,,5,Prospecção
PA-0187,Compras,R$ 6100.00,R$ 6100.00,R$ 0.00,14.4.2016,,,1,Prospecção
PA-0188,Comercial,R$ 33000.00,R$ 33000.00,R$ 0.00,14.4.2016,27.5.2016,12.11.2016,6,Finalizado
PA-0189,TI,R$ 23200.00,R$ 23200.00,R$ 0.00,15.4.2016,,,4,Prospecção
PA-0190,Financeiro,R$ 30800.00,R$ 27700.00,R$ 3100.00,16.4.2016,,,3,Prospecção
PA-0191,TI,R$ 19900.00,,R$ 0.00,16.4.2016,,,7,Em negociação
PA-0192,Compras,R$ 7700.00,R$ 6900.00,R$ 800.00,17.4.2016,,,6,Prospecção
PA-0193,Marketing,R$ 11200.00,R$ 11200.00,R$ 0.00,17.4.2016,,,1,Aguardando NF
PA-0194,Comercial,R$ 28800.00,R$ 23000.00,R$ 5800.00,17.4.2016,,,9,Prospecção
PA-0195,Comercial,R$ 23000.00,R$ 20700.00,R$ 2300.00,17.4.2016,17.5.2016,,10,Em andamento
PA-0196,TI,R$ 23700.00,R$ 23700.00,R$ 0.00,18.4.2016,,,1,Prospecção
PA-0197,Comercial,R$ 17200.00,R$ 17200.00,R$ 0.00,19.4.2016,,,3,Em negociação
PA-0198,TI,R$ 15300.00,R$ 12200.00,R$ 3100.00,20.4.2016,,,6,Em negociação
PA-0199,Marketing,R$ 31000.00,R$ 31000.00,R$ 0.00,21.4.2016,,,8,Prospecção
PA-0200,RH,R$ 30900.00,R$ 24700.00,R$ 6200.00,22.4.2016,,,6,Aguardando NF
PA-0201,marketing,R$ 5100.00,R$ 5100.00,R$ 0.00,22.4.2016,,,10,EM NEGOCIAÇÃO
PA-0202,TI,R$ 4300.00,R$ 4300.00,R$ 0.00,22.4.2016,,,10,Aguardando NF
PA-0203,Comercial,R$ 19400.00,R$ 19400.00,R$ 0.00,22.4.2016,28.6.2016,30.10.2016,3,Finalizado
PA-0204,Compras,R$ 13900.00,R$ 13900.00,R$ 0.00,23.4.2016,,,7,Em negociação
PA-0205,Comercial,R$ 5800.00,R$ 4600.00,R$ 1200.00,24.4.2016,,,8,Aguardando NF
PA-0206,Logística,R$ 8000.00,R$ 5600.00,R$ 2400.00,25.4.2016,30.5.2016,,7,Em andamento
PA-0207,Logística,R$ 6800.00,R$ 6800.00,R$ 0.00,26.4.2016,,,8,Prospecção
PA-0208,Compras,R$ 30300.00,R$ 21200.00,R$ 9100.00,27.4.2016,13.6.2016,28.6.2016,4,Finalizado
PA-0209,Produção,R$ 32800.00,R$ 32800.00,R$ 0.00,27.4.2016,3.7.2016,3.12.2016,8,Finalizado
PA-0210,Marketing,R$ 5900.00,R$ 5300.00,R$ 600.00,28.4.2016,,,9,Aguardando NF
PA-0211,FINANCEIRO,R$ 26500.00,R$ 21200.00,R$ 5300.00,29.4.2016,,,1,Em negociação
PA-0212,Marketing,R$ 15100.00,R$ 15100.00,R$ 0.00,29.4.2016,,,9,Prospecção
PA-0213,Comercial,R$ 17900.00,R$ 16100.00,R$ 1800.00,30.4.2016,,,3,Prospecção
PA-0214,Logística,R$ 14300.00,R$ 10000.00,R$ 4300.00,1.5.2016,,,5,Prospecção
PA-0215,TI,R$ 10000.00,R$ 8000.00,R$ 2000.00,1.5.2016,,,8,Aguardando NF
PA-0216,Logística,R$ 34800.00,R$ 34800.00,R$ 0.00,1.5.2016,,,6,Em negociação
PA-0217,Logística,R$ 33300.00,R$ 33300.00,R$ 0.00,2.5.2016,26.6.2016,,8,Em andamento
PA-0218,Marketing,R$ 35500.00,R$ 35500.00,R$ 0.00,2.5.2016,,,4,Em negociação
PA-0219,Financeiro,R$ 35400.00,R$ 35400.00,R$ 0.00,3.5.2016,6.6.2016,27.10.2016,1,Finalizado
PA-0220,Financeiro,R$ 31500.00,R$ 31500.00,R$ 0.00,4.5.2016,,,3,Em negociação
PA-0221,Produção,R$ 31900.00,R$ 31900.00,R$ 0.00,5.5.2016,,,2,Prospecção
PA-0222,Logística,R$ 30200.00,R$ 30200.00,R$ 0.00,5.5.2016,,,7,Aguardando NF
PA-0223,TI,R$ 12900.00,R$ 10300.00,R$ 2600.00,5.5.2016,,,9,Em negociação
PA-0224,TI,R$ 14700.00,R$ 14700.00,R$ 0.00,5.5.2016,,,10,Prospecção
PA-0225,TI,R$ 33500.00,R$ 30200.00,R$ 3300.00,5.5.2016,,,7,Em negociação
PA-0226,Marketing,R$ 26700.00,R$ 26700.00,R$ 0.00,6.5.2016,27.5.2016,,9,Em andamento
PA-0227,Logística,R$ 15200.00,R$ 13700.00,R$ 1500.00,7.5.2016,,,3,Prospecção
PA-0228,TI,R$ 24900.00,R$ 24900.00,R$ 0.00,7.5.2016,,,8,Em negociação
PA-0229,Financeiro,R$ 11000.00,R$ 11000.00,R$ 0.00,7.5.2016,,,1,Em negociação
PA-0230,Marketing,R$ 24100.00,R$ 24100.00,R$ 0.00,8.5.2016,,,6,Em negociação
PA-0231,Marketing,R$ 27900.00,R$ 19500.00,R$ 8400.00,9.5.2016,,,2,Prospecção
PA-0232,TI,R$ 3300.00,R$ 2600.00,R$ 700.00,10.5.2016,,,6,Em negociação
PA-0233,Logística,R$ 28400.00,R$ 28400.00,R$ 0.00,11.5.2016,,,2,Prospecção
PA-0234,Compras,R$ 22900.00,R$ 22900.00,R$ 0.00,12.5.2016,,,1,Em negociação
PA-0235,Logística,R$ 26700.00,R$ 24000.00,R$ 2700.00,12.5.2016,,,3,Prospecção
PA-0236,Marketing,R$ 10700.00,R$ 7500.00,R$ 3200.00,12.5.2016,,,9,Prospecção
PA-0237,Marketing,R$ 30400.00,R$ 27400.00,R$ 3000.00,13.5.2016,,,8,Aguardando NF
PA-0238,Comercial,R$ 24200.00,R$ 16900.00,R$ 7300.00,13.5.2016,,,6,Em negociação
PA-0239,TI,R$ 34800.00,R$ 24400.00,R$ 10400.00,14.5.2016,,,6,Prospecção
PA-0240,Comercial,R$ 18200.00,R$ 18200.00,R$ 0.00,14.5.2016,,,3,Prospecção
PA-0241,marketing,R$ 4100.00,R$ 4100.00,R$ 0.00,14.5.2016,,,3,Em negociação
PA-0242,Marketing,R$ 22500.00,R$ 22500.00,R$ 0.00,15.5.2016,,,1,Prospecção
PA-0243,Marketing,R$ 6700.00,R$ 5400.00,R$ 1300.00,16.5.2016,,,8,Prospecção
PA-0244,Logística,R$ 5100.00,R$ 5100.00,R$ 0.00,17.5.2016,,,3,Em negociação
PA-0245,TI,R$ 23600.00,R$ 16500.00,R$ 7100.00,18.5.2016,,,7,Em negociação
PA-0246,Logística,R$ 32500.00,R$ 32500.00,R$ 0.00,18.5.2016,,,4,Em negociação
PA-0247,Compras,R$ 17400.00,R$ 17400.00,R$ 0.00,19.5.2016,,,10,Aguardando NF
PA-0248,TI,R$ 11300.00,R$ 7900.00,R$ 3400.00,19.5.2016,,,1,Prospecção
