Numero Ordem,Cod Operador,Produto,Ocorrência,Inicio,Fim,Qtd Produzida,Qtd Rejeitada
17,8,Home Theater System 4.1 Channel M412 Brown,Controle de Qualidade,09.01.2021 07:17:54,09.01.2021 07:37:40,0,0
17,2,Home Theater System 4.1 Channel M412 Brown,,04.01.2021 07:11:16,04.01.2021 07:21:50,385,0
18,6,Home Theater System 5.1 Channel M512 Silver,Preparação de Máquina,08.01.2021 16:15:44,08.01.2021 16:35:54,0,0
18,9,Home Theater System 5.1 Channel M512 Silver,Controle de Qualidade,03.01.2021 10:14:52,03.01.2021 10:34:40,0,0
19,1,Hand Games for students E400 Red,Preparação de Máquina,04.01.2021 16:19:55,04.01.2021 16:39:43,0,0
18,8,Home Theater System 5.1 Channel M512 Silver,,09.01.2021 10:22:13,09.01.2021 10:32:35,376,0
19,2,Hand Games for students E400 Red,Controle de Qualidade,06.01.2021 07:29:42,06.01.2021 07:49:53,0,0
19,7,Hand Games for students E400 Red,,05.01.2021 15:43:37,05.01.2021 19:13:51,358,0
20,2,8xDVD E140 Black,Preparação de Máquina,07.01.2021 14:58:50,07.01.2021 15:18:35,0,0
20,7,8xDVD E140 Black,,04.01.2021 10:42:31,04.01.2021 11:08:11,44,6
20,5,8xDVD E140 Black,,04.01.2021 15:32:49,04.01.2021 15:38:38,0,0
21,10,RISE OF NATIONS2009 E152,Preparação de Máquina,09.01.2021 11:38:58,09.01.2021 11:59:15,0,0
21,8,Rise of Nations2009 E152,Controle de Qualidade,04.01.2021 15:32:58,04.01.2021 15:52:56,0,0
22,7,Home Theater System 5.1 Channel M511 Brown,Preparação de Máquina,05.01.2021 10:43:40,05.01.2021 11:03:43,0,0
21,10,Rise of Nations2009 E152,,05.01.2021 10:39:04,05.01.2021 11:29:58,59,0
22,8,Home Theater System 5.1 Channel M511 Brown,Controle de Qualidade,06.01.2021 09:27:30,06.01.2021 09:46:53,0,0
22,2,Home Theater System 5.1 Channel M511 Brown,,03.01.2021 08:01:49,03.01.2021 08:17:05,52,0
23,6,Racing Madness 2009 E169,Preparação de Máquina,07.01.2021 07:39:47,07.01.2021 08:44:57,0,0
23,6,Racing Madness 2009 E169,Controle de Qualidade,04.01.2021 14:14:12,04.01.2021 14:34:14,0,0
23,6,Racing Madness 2009 E169,,05.01.2021 15:18:51,05.01.2021 15:54:09,141,0
24,9,Stereo Bluetooth Headphones New Generation M370 Orange,Preparação de Máquina,07.01.2021 12:25:03,07.01.2021 13:19:49,0,0
24,,Stereo Bluetooth Headphones New Generation M370 Orange,Controle de Qualidade,05.01.2021 09:31:14,05.01.2021 09:50:54,0,0
24,7,Stereo Bluetooth Headphones New Generation M370 Orange,,05.01.2021 12:08:29,05.01.2021 12:14:24,345,0
25,6,Rise of Nations E112,Preparação de Máquina,07.01.2021 16:25:49,07.01.2021 16:46:07,0,0
25,5,Rise of Nations E112,Controle de Qualidade,04.01.2021 14:11:54,04.01.2021 14:28:47,0,0
25,6,Rise of Nations E112,,05.01.2021 07:37:11,05.01.2021 08:30:54,377,0
15,1,Hand Games men M300 Silver,Falha Operador,05.01.2021 09:23:11,05.01.2021 12:48:13,275,0
26,1,2GB Pulse Smart pen M100 White,Preparação de Máquina,03.01.2021 13:48:51,03.01.2021 14:33:32,0,0
23,5,Racing Madness 2009 E169,Falha Operador,03.01.2021 17:03:50,03.01.2021 21:18:47,141,0
27,5,Rise of Nations: Rise of Legends M290,Preparação de Máquina,03.01.2021 11:26:09,03.01.2021 12:11:18,0,0
27,3,Rise of Nations: Rise of Legends M290,,05.01.2021 17:15:38,05.01.2021 18:06:09,193,0
27,10,rise of nations: rise of legends m290,,07.01.2021 08:21:15,07.01.2021 08:31:30,0,0
27,4,Rise of Nations: Rise of Legends M290,,04.01.2021 17:02:32,04.01.2021 19:02:55,193,0
28,2,Zoo Tycoon 2008 E142,Preparação de Máquina,04.01.2021 10:02:29,04.01.2021 10:22:35,0,0
28,4,Zoo Tycoon 2008 E142,Controle de Qualidade,03.01.2021 08:15:21,03.01.2021 08:32:33,0,0
28,5,Zoo Tycoon 2008 E142,,04.01.2021 10:31:26,04.01.2021 10:44:51,105,0
29,6,180 CFM Vertical Discharge Fan X450 Blue,Preparação de Máquina,09.01.2021 08:40:42,09.01.2021 09:05:55,0,0
29,8,180 CFM Vertical Discharge Fan X450 Blue,Controle de Qualidade,05.01.2021 17:59:51,05.01.2021 18:17:26,0,0
29,5,180 CFM Vertical Discharge Fan X450 Blue,,08.01.2021 13:44:06,08.01.2021 15:56:50,226,0
30,1,Coffee Maker 12C M1000 Grey,Preparação de Máquina,08.01.2021 16:28:07,08.01.2021 16:48:23,0,0
30,6,Coffee Maker 12C M1000 Grey,Controle de Qualidade,05.01.2021 16:56:38,05.01.2021 17:13:38,0,0
30,3,COFFEE MAKER 12C M1000 GREY,,04.01.2021 12:48:48,04.01.2021 12:57:38,33,0
31,9,Rise of Nations: Rise of Legends M290,Preparação de Máquina,03.01.2021 14:23:51,03.01.2021 14:44:01,0,0
31,7,Rise of Nations: Rise of Legends M290,Controle de Qualidade,03.01.2021 10:28:33,03.01.2021 13:06:21,0,0
31,10,Rise of Nations: Rise of Legends M290,,04.01.2021 10:32:26,04.01.2021 12:56:15,335,0
28,2,Zoo Tycoon 2008 E142,,04.01.2021 11:48:20,04.01.2021 11:55:44,105,0
29,8,180 CFM Vertical Discharge Fan X450 Blue,,03.01.2021 08:12:02,03.01.2021 08:19:24,226,
32,9,Home Theater System 2.1 Channel E1220 Brown,Preparação de Máquina,03.01.2021 17:52:48,03.01.2021 18:12:42,0,0
32,5,Home Theater System 2.1 Channel E1220 Brown,Controle de Qualidade,04.01.2021 16:32:26,04.01.2021 16:50:17,0,0
33,5,Wireless Bluetooth Stereo Headphones M270 Black,Preparação de Máquina,05.01.2021 15:47:39,05.01.2021 16:07:35,0,0
33,5,Wireless Bluetooth Stereo Headphones M270 Black,Controle de Qualidade,04.01.2021 08:13:55,04.01.2021 08:30:40,0,0
32,10,Home Theater System 2.1 Channel E1220 Brown,,04.01.2021 16:39:12,04.01.2021 17:01:55,189,0
33,5,Wireless Bluetooth Stereo Headphones M270 Black,,09.01.2021 07:46:07,09.01.2021 08:14:31,314,0
34,5,Home Theater System 2.1 Channel E211 Silver,Preparação de Máquina,04.01.2021 15:21:27,04.01.2021 16:01:41,0,0
34,8,Home Theater System 2.1 Channel E211 Silver,Controle de Qualidade,06.01.2021 16:09:59,06.01.2021 16:30:16,0,0
35,9,Home Theater System 5.1 Channel M515 Black,Preparação de Máquina,08.01.2021 14:13:03,08.01.2021 15:13:03,0,0
35,4,Home Theater System 5.1 Channel M515 Black,Controle de Qualidade,04.01.2021 13:50:52,04.01.2021 14:10:26,0,0
35,7,Home Theater System 5.1 Channel M515 Black,,07.01.2021 15:52:24,07.01.2021 18:32:53,235,0
30,8,Coffee Maker 12C M1000 Grey,,05.01.2021 15:48:31,05.01.2021 15:51:07,33,0
36,5,Hand Games women M400 Black,Preparação de Máquina,05.01.2021 07:06:14,05.01.2021 07:36:03,0,0
36,10,Hand Games women M400 Black,Controle de Qualidade,03.01.2021 12:51:41,03.01.2021 13:11:28,0,0
36,7,Hand Games women M400 Black,,05.01.2021 07:30:25,05.01.2021 08:05:53,25,0
26,6,2GB Pulse Smart pen M100 White,Controle de Qualidade,03.01.2021 13:21:12,03.01.2021 13:56:27,0,0
26,7,2GB Pulse Smart pen M100 White,Peça Irregular,05.01.2021 07:07:14,05.01.2021 09:07:05,49,0
37,6,Hand Games men M300 Black,Preparação de Máquina,09.01.2021 17:39:15,10.01.2021 11:08:41,0,0
38,1,Home Theater System 2.1 Channel M1210 White,Preparação de Máquina,05.01.2021 17:57:24,05.01.2021 19:02:27,0,0
38,7,Home Theater System 2.1 Channel M1210 White,Controle de Qualidade,05.01.2021 14:10:19,05.01.2021 14:29:54,0,0
38,4,Home Theater System 2.1 Channel M1210 White,,07.01.2021 12:23:36,07.01.2021 13:29:08,57,7
23,1,Racing Madness 2009 E169,Falha Operador,06.01.2021 09:26:03,06.01.2021 13:25:45,141,0
23,1,Racing Madness 2009 E169,,03.01.2021 11:58:33,03.01.2021 12:44:02,141,0
23,5,Racing Madness 2009 E169,,03.01.2021 10:55:29,03.01.2021 14:56:01,141,0
7,8,home theater system 7.1 channel m710 brown,,04.01.2021 13:22:30,04.01.2021 14:08:22,107,0
7,10,Home Theater System 7.1 Channel M710 Brown,,05.01.2021 13:10:42,05.01.2021 17:11:32,107,0
39,5,Hand Games women M40 Silver,,09.01.2021 09:18:08,09.01.2021 10:31:32,132,0
40,3,Home Theater System 2.1 Channel E212 Black,Preparação de Máquina,04.01.2021 16:47:08,04.01.2021 17:31:48,0,0
40,7,Home Theater System 2.1 Channel E212 Black,Controle de Qualidade,06.01.2021 12:27:12,06.01.2021 12:47:31,0,0
40,4,Home Theater System 2.1 Channel E212 Black,,08.01.2021 16:44:49,08.01.2021 17:10:03,153,0
40,10,Home Theater System 2.1 Channel E212 Black,,04.01.2021 17:37:14,04.01.2021 20:07:47,153,0
40,3,Home Theater System 2.1 Channel E212 Black,,07.01.2021 09:51:15,07.01.2021 11:22:07,153,0
41,3,Home Theater System 5.1 Channel M516 Black,,08.01.2021 13:15:27,08.01.2021 14:15:43,387,0
42,3,Flight Simulator X 2008 E133,Preparação de Máquina,03.01.2021 16:58:04,03.01.2021 17:17:59,0,0
42,5,Flight Simulator X 2008 E133,Controle de Qualidade,09.01.2021 16:24:48,09.01.2021 16:41:05,,0
42,6,Flight Simulator X 2008 E133,,09.01.2021 16:56:55,09.01.2021 17:50:00,40,0
43,7,Train Simulator 2009 E174,Controle de Qualidade,06.01.2021 11:51:21,07.01.2021 04:52:57,0,0
43,5,Train Simulator 2009 E174,,09.01.2021 16:53:19,09.01.2021 17:06:49,274,0
39,5,Hand Games women M40 Silver,Preparação de Máquina,04.01.2021 15:07:29,04.01.2021 15:27:34,0,0
39,2,Hand Games women M40 Silver,Controle de Qualidade,06.01.2021 09:55:26,06.01.2021 10:12:00,0,0
39,6,Hand Games women M40 Silver,,04.01.2021 07:28:24,04.01.2021 08:41:32,132,0
28,10,Zoo Tycoon 2008 E142,Preparação de Máquina,07.01.2021 12:21:27,07.01.2021 12:43:24,0,0
28,3,Zoo Tycoon 2008 E142,,05.01.2021 13:57:04,05.01.2021 14:04:37,105,0
44,4,Hand Games for kids E300 Red,Preparação de Máquina,07.01.2021 11:23:51,08.01.2021 03:23:27,0,0
44,,Hand Games for kids E300 Red,Preparação de Máquina,09.01.2021 09:42:02,09.01.2021 10:08:54,0,0
44,9,Hand Games for kids E300 Red,Controle de Qualidade,10.01.2021 11:28:01,10.01.2021 11:44:57,0,0
44,2,Hand Games for kids E300 Red,,08.01.2021 16:36:28,08.01.2021 16:48:48,56,0
45,5,Hand Games for kids E30 Yellow,Preparação de Máquina,09.01.2021 16:15:18,09.01.2021 16:35:19,0,0
45,3,Hand Games for kids E30 Yellow,Preparação de Máquina,05.01.2021 12:43:55,05.01.2021 13:21:55,0,0
45,6,Hand Games for kids E30 Yellow,Controle de Qualidade,06.01.2021 08:47:28,06.01.2021 09:04:41,0,0
45,4,Hand Games for kids E30 Yellow,,09.01.2021 17:30:54,09.01.2021 17:54:27,327,0
46,10,DVD Recorder L200 Black,Preparação de Máquina,06.01.2021 17:34:22,06.01.2021 17:54:18,0,0
46,1,DVD Recorder L200 Black,Controle de Qualidade,04.01.2021 09:42:37,04.01.2021 09:59:18,0,0
46,3,DVD Recorder L200 Black,,07.01.2021 09:17:16,07.01.2021 09:41:11,350,0
47,9,WIRELESS TRANSMITTER AND BLUETOOTH HEADPHONES M150 GREEN,,04.01.2021 14:33:47,04.01.2021 15:02:38,382,0
48,3,Age of Empires Expansion: The Rise of Rome X900,Preparação de Máquina,09.01.2021 12:05:11,09.01.2021 12:24:55,0,0
48,1,Age of Empires Expansion: The Rise of Rome X900,Controle de Qualidade,06.01.2021 09:57:36,06.01.2021 10:17:33,0,0
48,6,Age of Empires Expansion: The Rise of Rome X900,Falha Operador,04.01.2021 07:52:53,04.01.2021 09:27:34,313,0
37,6,Hand Games men M300 Black,,09.01.2021 07:30:43,09.01.2021 07:46:37,251,0
49,4,Rise of Nations E112,Preparação de Máquina,09.01.2021 17:06:25,09.01.2021 18:01:03,0,0
49,8,Rise of Nations E112,Falta de acessório,09.01.2021 14:36:23,09.01.2021 15:21:04,0,0
49,7,Rise of Nations E112,Controle de Qualidade,09.01.2021 10:14:00,09.01.2021 10:49:00,0,0
50,10,MechCollection E116,Preparação de Máquina,05.01.2021 09:17:08,05.01.2021 09:57:09,0,0
50,5,MechCollection E116,Controle de Qualidade,10.01.2021 12:46:56,10.01.2021 13:06:34,0,0
50,10,mechcollection e116,Falha Operador,05.01.2021 09:27:56,05.01.2021 10:53:01,247,0
47,3,Wireless Transmitter and Bluetooth Headphones M150 Green,Preparação de Máquina,05.01.2021 10:31:17,06.01.2021 05:35:40,0,0
47,9,Wireless Transmitter and Bluetooth Headphones M150 Green,Controle de Qualidade,06.01.2021 10:00:37,07.01.2021 01:00:22,0,0
47,6,Wireless Transmitter and Bluetooth Headphones M150 Green,,10.01.2021 16:33:44,11.01.2021 07:47:06,382,0
51,7,Home Theater System 7.1 Channel M710 Brown,Controle de Qualidade,06.01.2021 10:09:24,06.01.2021 10:28:59,0,0
51,1,Home Theater System 7.1 Channel M710 Brown,,07.01.2021 16:31:43,07.01.2021 19:12:15,237,0
51,4,Home Theater System 7.1 Channel M710 Brown,,07.01.2021 14:21:50,07.01.2021 15:22:33,237,30
51,3,Home Theater System 7.1 Channel M710 Brown,,07.01.2021 10:37:11,07.01.2021 14:38:06,237,0
37,8,Hand Games men M300 Black,Controle de Qualidade,09.01.2021 15:30:23,09.01.2021 15:50:29,0,0
37,4,Hand Games men M300 Black,Manutenção Elétrica,04.01.2021 13:01:29,04.01.2021 14:16:24,0,0
37,6,Hand Games men M300 Black,,09.01.2021 17:20:15,09.01.2021 18:50:25,251,0
37,4,Hand Games men M300 Black,Peça Irregular,06.01.2021 17:59:34,06.01.2021 20:39:12,251,31
37,4,Hand Games men M300 Black,Manutenção Elétrica,05.01.2021 08:54:40,05.01.2021 09:24:34,0,0
37,7,Hand Games men M300 Black,,08.01.2021 14:34:22,08.01.2021 14:59:34,251,0
41,7,Home Theater System 5.1 Channel M516 Black,Controle de Qualidade,09.01.2021 08:59:25,09.01.2021 09:19:43,0,0
41,10,Home Theater System 5.1 Channel M516 Black,Manutenção Mecânica,08.01.2021 09:05:11,08.01.2021 10:14:58,0,0
38,9,Home Theater System 2.1 Channel M1210 White,,03.01.2021 12:12:05,03.01.2021 13:02:42,57,0
52,9,Bicycle Casino Games X700,Preparação de Máquina,06.01.2021 08:26:26,06.01.2021 09:21:18,0,0
52,9,Bicycle Casino Games X700,Controle de Qualidade,04.01.2021 08:22:33,04.01.2021 09:42:09,0,0
52,9,Bicycle Casino Games X700,Falha Operador,05.01.2021 14:52:04,05.01.2021 15:46:51,347,0
23,6,RACING MADNESS 2009 E169,Falta de acessório,05.01.2021 14:06:51,05.01.2021 14:51:54,141,0
23,6,Racing Madness 2009 E169,,07.01.2021 12:56:00,07.01.2021 15:26:42,141,0
7,2,Home Theater System 7.1 Channel M710 Brown,,04.01.2021 07:25:23,04.01.2021 09:41:10,107,0
40,8,Home Theater System 2.1 Channel E212 Black,,07.01.2021 13:25:32,07.01.2021 13:45:52,153,0
53,5,Home Theater System 2.1 Channel E1220 Black,Preparação de Máquina,05.01.2021 08:21:50,07.01.2021 05:51:46,0,0
54,1,Home Theater System 4.1 Channel M1400 White,,04.01.2021 07:24:57,04.01.2021 07:28:49,97,0
55,4,Zoo Tycoon 2: Zookeeper Collection M260,Preparação de Máquina,06.01.2021 16:50:18,06.01.2021 17:24:52,0,0
55,7,Zoo Tycoon 2: Zookeeper Collection M260,Falha Operador,06.01.2021 12:02:44,06.01.2021 12:27:54,0,0
55,7,Zoo Tycoon 2: Zookeeper Collection M260,Controle de Qualidade,04.01.2021 11:57:07,04.01.2021 12:16:58,0,0
55,9,Zoo Tycoon 2: Zookeeper Collection M260,,06.01.2021 09:07:37,06.01.2021 10:18:10,113,0
43,2,Train Simulator 2009 E174,Preparação de Máquina,09.01.2021 14:51:47,09.01.2021 15:11:35,0,
56,10,LCD24W X300 Black,Preparação de Máquina,04.01.2021 12:22:45,04.01.2021 12:42:30,0,0
56,5,LCD24W X300 Black,Controle de Qualidade,08.01.2021 14:48:28,08.01.2021 15:05:32,0,0
56,3,LCD24W X300 Black,,05.01.2021 10:34:53,05.01.2021 11:03:21,308,39
57,4,Flight Simulator X 2008 E133,Controle de Qualidade,04.01.2021 09:29:39,04.01.2021 09:49:40,0,0
57,3,Flight Simulator X 2008 E133,,07.01.2021 17:01:32,07.01.2021 18:11:53,348,0
58,10,Hand Games for Office worker L28 Red,,07.01.2021 15:05:45,07.01.2021 15:19:20,238,0
48,10,Age of Empires Expansion: The Rise of Rome X900,Falha Operador,04.01.2021 14:12:46,04.01.2021 15:02:41,313,0
59,7,Zoo Tycoon Marine Mania E120,Preparação de Máquina,04.01.2021 15:36:43,04.01.2021 15:56:50,0,0
59,9,Zoo Tycoon Marine Mania E120,Controle de Qualidade,04.01.2021 10:31:26,04.01.2021 10:48:19,0,0
59,2,zoo tycoon marine mania e120,Preparação de Máquina,05.01.2021 12:18:25,05.01.2021 13:26:05,0,0
59,5,Zoo Tycoon Marine Mania E120,,05.01.2021 10:47:25,05.01.2021 11:40:23,333,0
60,8,Home Theater System 2.1 Channel E210 Brown,Preparação de Máquina,05.01.2021 16:15:44,05.01.2021 16:36:00,0,0
60,4,Home Theater System 2.1 Channel E210 Brown,Controle de Qualidade,04.01.2021 17:57:50,04.01.2021 18:14:36,0,0
58,4,Hand Games for Office worker L28 Red,Preparação de Máquina,04.01.2021 12:32:32,04.01.2021 12:52:32,0,0
60,2,Home Theater System 2.1 Channel E210 Brown,,06.01.2021 09:14:49,06.01.2021 09:33:31,182,0
58,9,Hand Games for Office worker L28 Red,Controle de Qualidade,08.01.2021 13:10:42,08.01.2021 13:27:53,0,0
58,3,Hand Games for Office worker L28 Red,,10.01.2021 15:45:04,10.01.2021 15:58:28,238,0
61,7,Age of Mythology: Gold Edition M310,Preparação de Máquina,08.01.2021 07:40:30,08.01.2021 08:00:10,0,0
61,2,Age of Mythology: Gold Edition M310,Controle de Qualidade,04.01.2021 17:48:02,04.01.2021 18:05:21,0,0
62,,HOME THEATER SYSTEM 4.1 CHANNEL M410 BLACK,Preparação de Máquina,04.01.2021 13:02:55,04.01.2021 13:23:09,0,0
61,5,Age of Mythology: Gold Edition M310,,07.01.2021 08:50:47,07.01.2021 09:09:05,204,0
62,2,Home Theater System 4.1 Channel M410 Black,Controle de Qualidade,05.01.2021 16:26:32,05.01.2021 16:43:51,0,0
62,1,Home Theater System 4.1 Channel M410 Black,,04.01.2021 14:26:52,04.01.2021 14:40:45,355,0
63,5,4GB Video Recording Pen X200 Black,Preparação de Máquina,06.01.2021 12:56:35,06.01.2021 13:16:49,0,0
63,6,4GB Video Recording Pen X200 Black,Controle de Qualidade,04.01.2021 17:14:38,04.01.2021 17:31:27,0,0
63,3,4GB Video Recording Pen X200 Black,,08.01.2021 14:35:31,08.01.2021 14:49:16,270,0
64,2,Dungeon 2007 E141,,06.01.2021 17:33:04,06.01.2021 17:43:21,191,0
64,7,Dungeon 2007 E141,Preparação de Máquina,04.01.2021 16:49:00,04.01.2021 17:09:30,0,0
64,3,Dungeon 2007 E141,Controle de Qualidade,05.01.2021 14:10:36,05.01.2021 14:28:14,0,0
64,4,Dungeon 2007 E141,,10.01.2021 10:47:42,10.01.2021 11:01:28,191,0
65,4,Age of Mythology: The Titans Expansion M350,Preparação de Máquina,06.01.2021 14:48:28,06.01.2021 15:33:21,0,0
54,6,Home Theater System 4.1 Channel M1400 White,Preparação de Máquina,06.01.2021 07:17:45,06.01.2021 07:37:26,0,0
54,4,Home Theater System 4.1 Channel M1400 White,Controle de Qualidade,05.01.2021 15:42:28,05.01.2021 15:59:27,0,0
54,5,Home Theater System 4.1 Channel M1400 White,,04.01.2021 08:24:43,04.01.2021 09:08:30,97,0
66,3,Zoo Tycoon Complete Collection E110,Controle de Qualidade,06.01.2021 08:11:28,06.01.2021 08:32:04,0,0
66,7,Zoo Tycoon Complete Collection E110,Outros,07.01.2021 08:25:09,07.01.2021 12:00:15,118,0
66,5,Zoo Tycoon Complete Collection E110,Falta de acessório,05.01.2021 14:46:01,05.01.2021 16:16:26,0,0
66,7,Zoo Tycoon Complete Collection E110,Outros,06.01.2021 13:22:48,06.01.2021 15:53:00,118,0
67,9,Water Heater 1.5GPM E0800 White,Preparação de Máquina,06.01.2021 10:25:32,06.01.2021 11:00:44,0,0
67,10,Water Heater 1.5GPM E0800 White,Controle de Qualidade,06.01.2021 08:10:10,06.01.2021 08:30:08,0,0
67,4,Water Heater 1.5GPM E0800 White,,07.01.2021 15:24:28,07.01.2021 15:55:23,170,0
68,9,MechWarrior 4: Vengeance X800,Preparação de Máquina,06.01.2021 11:21:24,06.01.2021 11:51:13,0,0
68,4,MechWarrior 4: Vengeance X800,Controle de Qualidade,04.01.2021 17:26:52,04.01.2021 17:46:43,0,0
69,8,Home Theater System 5.1 Channel M1540 White,Preparação de Máquina,04.01.2021 07:12:17,04.01.2021 07:32:05,0,0
69,8,Home Theater System 5.1 Channel M1540 White,Controle de Qualidade,05.01.2021 15:22:19,05.01.2021 15:39:05,0,0
69,4,Home Theater System 5.1 Channel M1540 White,,10.01.2021 08:44:00,10.01.2021 10:07:52,334,0
49,5,Rise of Nations E112,,10.01.2021 13:08:49,10.01.2021 16:09:18,391,0
49,2,Rise of Nations E112,Falta de acessório,04.01.2021 10:22:48,04.01.2021 11:07:26,0,0
