Data da Compra,Produto,PrecoOriginal,PrecoPago,Fornecedor,Qtd. Comprada,TotalOriginal,TotalPago,CodCliente,Região Destino
2.1.2020,Gravador,8.88,8.88,Southridge Video,1.0,8.88,8.88,10.0,Brasil - ES
2.1.2020,Gravador,8.88,8.439999999999998,SOUTHRIDGE VIDEO,5.0,44.4,42.2,3.0,Brasil - RJ
2.1.2020,Projetor,126.9,124.36,Southridge Video,5.0,634.5,621.8,7.0,Brasil - RJ
2.1.2020,Projetor,126.9,96.44,Southridge Video,1.0,126.9,96.44,2.0,Brasil - ES
2.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,5.0,Brasil - SP
2.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,6.0,Brasil - SP
2.1.2020,Monitor,126.9,104.06,Southridge Video,5.0,634.5,520.3,9.0,Brasil - RJ
2.1.2020,Monitor,126.9,120.56,Southridge Video,3.0,380.7,361.68,1.0,Brasil - ES
2.1.2020,Monitor,126.9,87.56,Southridge Video,1.0,126.9,87.56,3.0,Brasil - RJ
2.1.2020,Monitor,126.9,112.94,Southridge Video,4.0,507.6,451.76,7.0,Brasil - BA
2.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,1.0,Brasil - SP
2.1.2020,MONITOR,126.9,126.9,Southridge Video,5.0,634.5,634.5,6.0,Brasil - SP
2.1.2020,Projetor,126.9,79.95,Southridge Video,1.0,126.9,79.95,1.0,Brasil - SP
2.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,10.0,Brasil - SP
2.1.2020,Projetor,126.9,81.22,Southridge Video,5.0,634.5,406.1,5.0,Brasil - SP
2.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,1.0,Brasil - MA
2.1.2020,Monitor,126.9,126.9,Southridge Video,3.0,380.7,380.7,7.0,Brasil - SP
3.1.2020,Lâmpada,25.0,25.0,Contoso,2.0,50.0,50.0,6.0,Brasil - RJ
3.1.2020,Geladeira,299.0,278.07,Contoso,1.0,299.0,278.07,1.0,Brasil - SP
3.1.2020,Rádio,16.99,13.25,Southridge Video,1.0,16.99,13.25,3.0,Brasil - SP
3.1.2020,Ar Condicionado,595.0,517.65,Contoso,1.0,595.0,517.65,6.0,Brasil - SP
3.1.2020,Lâmpada,595.0,595.0,Contoso,1.0,595.0,595.0,,Brasil - SP
3.1.2020,Lâmpada,595.0,595.0,Southridge Video,1.0,595.0,595.0,10.0,Brasil - ES
3.1.2020,Lâmpada,25.0,25.0,Contoso,5.0,125.0,125.0,2.0,Brasil - RJ
3.1.2020,Gravador,6.99,4.68,Southridge Video,3.0,20.97,14.04,7.0,Brasil - SP
3.1.2020,Rádio,16.99,11.55,Southridge Video,4.0,67.96,46.2,3.0,Brasil - SP
3.1.2020,Microondas,329.0,329.0,Contoso,4.0,1316.0,1316.0,7.0,Brasil - SP
3.1.2020,Geladeira,329.0,329.0,Contoso,1.0,329.0,329.0,3.0,Brasil - BA
3.1.2020,Aparelho de Som,34.0,34.0,Uno Toys,4.0,136.0,136.0,10.0,Brasil - RJ
3.1.2020,Aparelho de Som,34.0,34.0,Uno Toys,1.0,34.0,34.0,1.0,Brasil - SP
3.1.2020,Aparelho de Som,32.0,31.68,Uno Toys,3.0,96.0,95.04,8.0,Brasil - SP
3.1.2020,ventilador,109.0,69.76,Uno Toys,1.0,109.0,69.76,9.0,Brasil - RJ
3.1.2020,Aparelho de Som,109.0,70.85,Uno Toys,5.0,545.0,354.25,5.0,Brasil - RJ
3.1.2020,Rádio,6.99,6.99,Southridge Video,5.0,34.95,34.95,2.0,Brasil - RJ
3.1.2020,Gravador,4.99,4.24,Uno Toys,1.0,4.99,4.24,3.0,Brasil - SP
3.1.2020,Lâmpada,25.0,25.0,Contoso,1.0,25.0,25.0,4.0,Brasil - ES
3.1.2020,Lâmpada,25.0,25.0,Contoso,1.0,25.0,25.0,9.0,Brasil - SP
3.1.2020,Gravador,16.89,16.89,Uno Toys,3.0,50.67,50.67,9.0,Brasil - SP
3.1.2020,Ar Condicionado,595.0,595.0,Contoso,1.0,595.0,595.0,4.0,Brasil - SP
3.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,8.0,Brasil - ES
3.1.2020,Monitor,126.9,102.79,Southridge Video,1.0,126.9,102.79,6.0,Brasil - SP
3.1.2020,PROJETOR,126.9,93.91,Southridge Video,2.0,253.8,187.82,5.0,Brasil - RJ
3.1.2020,Projetor,126.9,126.9,Southridge Video,3.0,380.7,380.7,2.0,Brasil - SP
3.1.2020,Projetor,126.9,126.9,Southridge Video,7.0,888.2999999999998,888.2999999999998,3.0,Brasil - BA
3.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,1.0,Brasil - SP
3.1.2020,Ar Condicionado,126.9,126.9,Southridge Video,3.0,380.7,380.7,10.0,Brasil - RJ
3.1.2020,Projetor,126.9,100.25,Southridge Video,,507.6,401.0,4.0,Brasil - ES
3.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,5.0,Brasil - RJ
3.1.2020,Ar Condicionado,126.9,104.06,Southridge Video,1.0,126.9,104.06,10.0,Brasil - RJ
3.1.2020,Monitor,126.9,83.75,Southridge Video,2.0,253.8,167.5,8.0,Brasil - SP
3.1.2020,Monitor,126.9,78.68,Southridge Video,3.0,380.7,236.04,7.0,Brasil - ES
3.1.2020,Projetor,126.9,126.9,SOUTHRIDGE VIDEO,1.0,126.9,126.9,3.0,Brasil - SP
3.1.2020,Monitor,126.9,81.22,Southridge Video,1.0,126.9,81.22,7.0,Brasil - RJ
4.1.2020,Lâmpada,595.0,595.0,Contoso,1.0,595.0,595.0,6.0,Brasil - RJ
4.1.2020,Ar Condicionado,595.0,416.5,Contoso,1.0,595.0,416.5,4.0,Brasil - ES
4.1.2020,Ar Condicionado,25.0,25.0,Southridge Video,1.0,25.0,25.0,3.0,Brasil - ES
4.1.2020,Projetor,66.0,66.0,Southridge Video,1.0,66.0,66.0,8.0,Brasil - RJ
4.1.2020,Monitor,66.0,52.14,Southridge Video,1.0,66.0,52.14,6.0,Brasil - SP
4.1.2020,Ventilador,70.13,62.42,Uno Toys,1.0,70.13,62.42,8.0,Brasil - RJ
4.1.2020,Ventilador,72.45,72.45,Uno Toys,1.0,72.45,72.45,8.0,Brasil - MA
4.1.2020,Gravador,8.99,8.99,Uno Toys,1.0,8.99,8.99,3.0,Brasil - SP
4.1.2020,Gravador,16.99,16.99,Southridge Video,1.0,16.99,16.99,10.0,Brasil - ES
4.1.2020,Lâmpada,595.0,595.0,Southridge Video,1.0,595.0,595.0,9.0,Brasil - SP
4.1.2020,Ar Condicionado,595.0,595.0,Contoso,1.0,595.0,595.0,5.0,Brasil - ES
4.1.2020,Lâmpada,595.0,446.25,Contoso,2.0,1190.0,892.5,2.0,Brasil - RJ
4.1.2020,Gravador,8.99,7.91,Uno Toys,4.0,35.96,31.64,7.0,Brasil - SP
4.1.2020,Gravador,4.98,4.78,Southridge Video,3.0,14.94,14.34,9.0,Brasil - ES
4.1.2020,Gravador,4.99,4.99,Uno Toys,3.0,14.97,14.97,8.0,Brasil - BA
4.1.2020,Gravador,4.99,4.99,Uno Toys,1.0,4.99,4.99,1.0,Brasil - SP
4.1.2020,Gravador,6.99,6.99,Uno Toys,1.0,6.99,6.99,5.0,Brasil - ES
4.1.2020,Aparelho de Som,70.13,70.13,Uno Toys,4.0,280.52,280.52,2.0,Brasil - BA
4.1.2020,microondas,299.9,227.92,Litware ,4.0,1199.6,911.68,7.0,Brasil - SP
4.1.2020,Rádio,6.99,6.99,Uno Toys,5.0,34.95,34.95,1.0,Brasil - RJ
4.1.2020,Rádio,16.89,16.89,Uno Toys,1.0,16.89,16.89,10.0,Brasil - RJ
4.1.2020,Rádio,16.89,16.89,Uno Toys,1.0,16.89,16.89,3.0,Brasil - SP
4.1.2020,Projetor,126.9,83.75,Southridge Video,5.0,634.5,418.75,9.0,Brasil - ES
4.1.2020,Monitor,126.9,126.9,Southridge Video,5.0,634.5,634.5,10.0,Brasil - SP
4.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,8.0,Brasil - BA
4.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,5.0,Brasil - SP
4.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,8.0,Brasil - SP
4.1.2020,Ar Condicionado,126.9,126.9,Southridge Video,1.0,126.9,126.9,10.0,Brasil - RJ
,Ar Condicionado,126.9,126.9,Southridge Video,1.0,126.9,126.9,7.0,Brasil - RJ
4.1.2020,Projetor,126.9,126.9,Southridge Video,3.0,380.7,380.7,2.0,Brasil - SP
4.1.2020,Monitor,126.9,126.9,Southridge Video,3.0,380.7,380.7,4.0,Brasil - SP
4.1.2020,Monitor,126.9,96.44,Southridge Video,1.0,126.9,96.44,5.0,Brasil - ES
4.1.2020,Monitor,126.9,95.18,Southridge Video,1.0,126.9,95.18,5.0,Brasil - ES
4.1.2020,Monitor,126.9,86.29,Southridge Video,2.0,253.8,172.58,4.0,Brasil - SP
4.1.2020,Ar Condicionado,126.9,126.9,Southridge Video,5.0,634.5,634.5,9.0,Brasil - RJ
4.1.2020,Projetor,126.9,126.9,Southridge Video,3.0,380.7,380.7,5.0,Brasil - RJ
4.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,4.0,Brasil - RJ
4.1.2020,Ar Condicionado,126.9,126.9,Southridge Video,1.0,126.9,126.9,3.0,Brasil - RJ
5.1.2020,Lâmpada,595.0,595.0,Contoso,1.0,595.0,595.0,,Brasil - SP
5.1.2020,Ar Condicionado,25.0,25.0,Contoso,1.0,25.0,25.0,2.0,Brasil - RJ
5.1.2020,Ar Condicionado,25.0,25.0,Contoso,4.0,100.0,100.0,5.0,Brasil - SP
5.1.2020,Rádio,4.99,3.59,Uno Toys,3.0,14.97,10.77,6.0,Brasil - SP
5.1.2020,Projetor,109.0,74.12,Southridge Video,3.0,327.0,222.36,10.0,Brasil - RJ
5.1.2020,Gravador,8.88,8.88,Southridge Video,2.0,17.76,17.76,10.0,Brasil - SP
5.1.2020,Lâmpada,595.0,464.1,Contoso,1.0,595.0,464.1,7.0,Brasil - SP
5.1.2020,Ar Condicionado,595.0,595.0,Contoso,3.0,1785.0,1785.0,9.0,Brasil - SP
5.1.2020,Ar Condicionado,595.0,595.0,Contoso,5.0,2975.0,2975.0,6.0,Brasil - RJ
5.1.2020,Ar Condicionado,595.0,595.0,Contoso,1.0,595.0,595.0,3.0,Brasil - SP
5.1.2020,RÁDIO,4.98,4.98,SOUTHRIDGE VIDEO,1.0,4.98,4.98,6.0,Brasil - SP
5.1.2020,Gravador,4.98,4.98,Southridge Video,1.0,4.98,4.98,6.0,Brasil - MA
5.1.2020,Lâmpada,68.0,68.0,Contoso,1.0,68.0,68.0,8.0,Brasil - SP
5.1.2020,Lâmpada,25.0,25.0,Contoso,1.0,25.0,25.0,4.0,Brasil - SP
5.1.2020,Microondas,199.0,199.0,Contoso,1.0,199.0,199.0,9.0,Brasil - SP
5.1.2020,Rádio,16.89,16.89,Uno Toys,4.0,67.56,67.56,3.0,Brasil - RJ
5.1.2020,Rádio,8.88,8.88,Southridge Video,4.0,35.52,35.52,7.0,Brasil - SP
5.1.2020,Projetor,126.9,112.94,Southridge Video,1.0,126.9,112.94,8.0,Brasil - BA
5.1.2020,Monitor,126.9,126.9,Southridge Video,4.0,507.6,507.6,7.0,Brasil - ES
5.1.2020,Projetor,126.9,79.95,Southridge Video,1.0,126.9,79.95,5.0,Brasil - SP
5.1.2020,monitor,126.9,126.9,Southridge Video,3.0,380.7,380.7,3.0,Brasil - SP
5.1.2020,Monitor,126.9,116.75,Southridge Video,2.0,253.8,233.5,3.0,Brasil - BA
5.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,9.0,Brasil - SP
5.1.2020,Monitor,126.9,126.9,Southridge Video,2.0,253.8,253.8,9.0,Brasil - SP
5.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,6.0,Brasil - SP
5.1.2020,Projetor,126.9,118.02,Southridge Video,1.0,126.9,118.02,7.0,Brasil - SP
5.1.2020,Ar Condicionado,126.9,85.01999999999998,Southridge Video,5.0,634.5,425.1,1.0,Brasil - RJ
5.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,10.0,Brasil - RJ
5.1.2020,Microondas,569.0,569.0,Litware,2.0,1138.0,1138.0,10.0,Brasil - ES
5.1.2020,Geladeira,269.9,269.9,Litware ,1.0,269.9,269.9,1.0,Brasil - RJ
5.1.2020,Microondas,299.9,296.9,Litware ,4.0,1199.6,1187.6,5.0,Brasil - SP
6.1.2020,Lâmpada,595.0,595.0,Contoso,1.0,595.0,595.0,4.0,Brasil - ES
6.1.2020,Lâmpada,595.0,464.1,Southridge Video,1.0,595.0,464.1,5.0,Brasil - SP
6.1.2020,Ar Condicionado,595.0,571.2,Contoso,1.0,595.0,571.2,5.0,Brasil - SP
6.1.2020,Ar Condicionado,25.0,25.0,Contoso,1.0,25.0,25.0,2.0,Brasil - SP
6.1.2020,Rádio,8.88,8.79,Southridge Video,1.0,8.88,8.79,1.0,Brasil - RJ
6.1.2020,Rádio,8.88,8.88,Southridge Video,1.0,8.88,8.88,4.0,Brasil - ES
6.1.2020,Lâmpada,595.0,428.4,Contoso,1.0,595.0,428.4,1.0,Brasil - SP
6.1.2020,Lâmpada,595.0,595.0,Contoso,1.0,595.0,595.0,1.0,Brasil - SP
6.1.2020,Ar Condicionado,595.0,595.0,Contoso,3.0,1785.0,1785.0,9.0,Brasil - ES
6.1.2020,GRAVADOR,16.89,16.89,Uno Toys,1.0,16.89,16.89,2.0,Brasil - SP
6.1.2020,Gravador,4.98,4.08,Southridge Video,1.0,4.98,4.08,5.0,Brasil - SP
6.1.2020,Rádio,4.99,4.99,Uno Toys,5.0,24.95,24.95,6.0,Brasil - SP
6.1.2020,Microondas,409.0,409.0,Contoso,5.0,2045.0,2045.0,8.0,Brasil - RJ
6.1.2020,Aparelho de Som,89.0,56.96,Uno Toys,1.0,89.0,56.96,2.0,Brasil - RJ
6.1.2020,Ventilador,32.0,32.0,Uno Toys,4.0,128.0,128.0,6.0,Brasil - SP
6.1.2020,Microondas,329.0,329.0,Contoso,1.0,329.0,329.0,9.0,Brasil - SP
6.1.2020,Gravador,4.98,4.98,Southridge Video,1.0,4.98,4.98,8.0,Brasil - SP
6.1.2020,Gravador,4.99,4.99,Uno Toys,1.0,4.99,4.99,4.0,Brasil - RJ
6.1.2020,Projetor,126.9,126.9,Southridge Video,2.0,253.8,253.8,3.0,Brasil - SP
6.1.2020,Monitor,126.9,101.52,Southridge Video,,507.6,406.08,9.0,Brasil - SP
6.1.2020,Monitor,126.9,93.91,Southridge Video,1.0,126.9,93.91,6.0,Brasil - ES
6.1.2020,Monitor,126.9,124.36,Southridge Video,5.0,634.5,621.8,6.0,Brasil - ES
6.1.2020,Projetor,126.9,86.29,Southridge Video,5.0,634.5,431.45,4.0,Brasil - ES
6.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,9.0,Brasil - SP
6.1.2020,Monitor,126.9,126.9,Southridge Video,4.0,507.6,507.6,8.0,Brasil - SP
6.1.2020,Projetor,126.9,107.87,Southridge Video,1.0,126.9,107.87,4.0,Brasil - SP
6.1.2020,Monitor,126.9,126.9,Southridge Video,2.0,253.8,253.8,1.0,Brasil - SP
6.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,5.0,Brasil - SP
6.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,6.0,Brasil - SP
6.1.2020,projetor,126.9,126.9,SOUTHRIDGE VIDEO,1.0,126.9,126.9,1.0,Brasil - SP
6.1.2020,Sistema Audivisual para Carro,149.95,149.95,Wide World Importers,1.0,149.95,149.95,8.0,Brasil - SP
6.1.2020,Geladeira,269.9,269.9,Litware ,1.0,269.9,269.9,8.0,Brasil - SP
6.1.2020,Microondas,299.9,275.91,Litware ,3.0,899.7,827.73,7.0,Brasil - SP
6.1.2020,Acessórios de TV e Áudio,149.95,149.95,Wide World Importers,1.0,149.95,149.95,1.0,Brasil - SP
7.1.2020,Ventilador,73.39,73.39,Uno Toys,1.0,73.39,73.39,3.0,Brasil - SP
7.1.2020,Lâmpada,595.0,434.35,Contoso,1.0,595.0,434.35,5.0,Brasil - SP
7.1.2020,Lâmpada,25.0,25.0,Southridge Video,1.0,25.0,25.0,1.0,Brasil - SP
7.1.2020,Lâmpada,25.0,25.0,Southridge Video,1.0,25.0,25.0,9.0,Brasil - SP
7.1.2020,Ventilador,109.0,109.0,Uno Toys,1.0,109.0,109.0,1.0,Brasil - SP
7.1.2020,APARELHO DE SOM,73.39,46.24,Uno Toys,1.0,73.39,46.24,,Brasil - SP
7.1.2020,Aparelho de Som,28.0,28.0,Uno Toys,2.0,56.0,56.0,10.0,Brasil - SP
7.1.2020,Gravador,6.99,4.89,Uno Toys,2.0,13.98,9.78,5.0,Brasil - SP
7.1.2020,Gravador,8.99,8.99,Uno Toys,1.0,8.99,8.99,5.0,Brasil - RJ
7.1.2020,Gravador,8.99,8.81,Uno Toys,3.0,26.97,26.43,4.0,Brasil - ES
7.1.2020,Rádio,8.99,8.99,Uno Toys,1.0,8.99,8.99,4.0,Brasil - RJ
7.1.2020,Ar Condicionado,595.0,577.15,Contoso,2.0,1190.0,1154.3,4.0,Brasil - SP
7.1.2020,Rádio,16.89,16.89,Uno Toys,3.0,50.67,50.67,8.0,Brasil - SP
7.1.2020,Gravador,16.89,12.16,Uno Toys,1.0,16.89,12.16,10.0,Brasil - RJ
7.1.2020,Ventilador,77.68,77.68,Uno Toys,1.0,77.68,77.68,8.0,Brasil - RJ
7.1.2020,Lâmpada,25.0,25.0,Contoso,3.0,75.0,75.0,9.0,Brasil - SP
7.1.2020,Laptop,445.0,445.0,Contoso,2.0,890.0,890.0,3.0,Brasil - SP
7.1.2020,Gravador,4.99,4.99,Uno Toys,1.0,4.99,4.99,1.0,Brasil - RJ
7.1.2020,Rádio,4.99,4.79,Uno Toys,2.0,9.98,9.58,7.0,Brasil - SP
7.1.2020,Ar Condicionado,595.0,595.0,Contoso,5.0,2975.0,2975.0,7.0,Brasil - RJ
7.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,9.0,Brasil - SP
7.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,7.0,Brasil - RJ
7.1.2020,Projetor,126.9,126.9,Southridge Video,3.0,380.7,380.7,3.0,Brasil - SP
7.1.2020,Monitor,126.9,126.9,Southridge Video,2.0,253.8,253.8,8.0,Brasil - SP
7.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,3.0,Brasil - SP
7.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,3.0,Brasil - SP
7.1.2020,Monitor,126.9,81.22,Southridge Video,1.0,126.9,81.22,1.0,Brasil - SP
7.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,8.0,Brasil - MA
7.1.2020,Monitor,126.9,126.9,Southridge Video,5.0,634.5,634.5,3.0,Brasil - BA
7.1.2020,Projetor,126.9,126.9,Southridge Video,4.0,507.6,507.6,4.0,Brasil - SP
7.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,6.0,Brasil - SP
7.1.2020,Projetor,126.9,126.9,Southridge Video,3.0,380.7,380.7,10.0,Brasil - ES
7.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,4.0,Brasil - SP
7.1.2020,Ar Condicionado,126.9,126.9,Southridge Video,1.0,126.9,126.9,5.0,Brasil - RJ
8.1.2020,Lâmpada,595.0,595.0,Contoso,1.0,595.0,595.0,3.0,Brasil - RJ
8.1.2020,lâmpada,25.0,25.0,Contoso,1.0,25.0,25.0,2.0,Brasil - SP
8.1.2020,Lâmpada,25.0,25.0,Contoso,3.0,75.0,75.0,6.0,Brasil - SP
8.1.2020,Geladeira,889.0,889.0,Contoso,1.0,889.0,889.0,6.0,Brasil - SP
8.1.2020,Microondas,889.0,889.0,Southridge Video,4.0,3556.0,3556.0,6.0,Brasil - SP
8.1.2020,Ventilador,104.89,86.01,Uno Toys,2.0,209.78,172.02,3.0,Brasil - MA
8.1.2020,Gravador,16.89,16.89,Uno Toys,4.0,67.56,67.56,1.0,Brasil - SP
8.1.2020,Rádio,16.89,11.32,Uno Toys,1.0,16.89,11.32,7.0,Brasil - SP
8.1.2020,Ar Condicionado,595.0,452.2,Contoso,3.0,1785.0,1356.6,6.0,Brasil - RJ
8.1.2020,Lâmpada,595.0,595.0,Contoso,1.0,595.0,595.0,4.0,Brasil - SP
8.1.2020,Lâmpada,595.0,595.0,Southridge Video,1.0,595.0,595.0,6.0,Brasil - SP
8.1.2020,Lâmpada,25.0,23.25,CONTOSO,1.0,25.0,23.25,7.0,Brasil - SP
8.1.2020,Ar Condicionado,25.0,25.0,Contoso,4.0,100.0,100.0,10.0,Brasil - RJ
8.1.2020,Ar Condicionado,25.0,25.0,Contoso,1.0,25.0,25.0,8.0,Brasil - SP
8.1.2020,Rádio,4.98,4.98,Southridge Video,1.0,4.98,4.98,6.0,Brasil - RJ
8.1.2020,Gravador,4.98,4.98,Southridge Video,4.0,19.92,19.92,3.0,Brasil - RJ
8.1.2020,Acessórios de TV e Áudio,149.95,149.95,Wide World Importers,1.0,149.95,149.95,8.0,Brasil - ES
8.1.2020,Gravador,6.99,6.99,Southridge Video,1.0,6.99,6.99,10.0,Brasil - SP
8.1.2020,Rádio,6.99,6.99,Southridge Video,2.0,13.98,13.98,7.0,Brasil - SP
8.1.2020,Ar Condicionado,25.0,25.0,Contoso,1.0,25.0,25.0,10.0,Brasil - SP
8.1.2020,Gravador,16.89,15.2,Uno Toys,1.0,16.89,15.2,3.0,Brasil - SP
,Gravador,16.89,16.89,Uno Toys,1.0,16.89,16.89,9.0,Brasil - RJ
8.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,9.0,Brasil - RJ
8.1.2020,Projetor,126.9,126.9,Southridge Video,1.0,126.9,126.9,8.0,Brasil - SP
8.1.2020,Monitor,126.9,111.67,Southridge Video,4.0,507.6,446.68,8.0,Brasil - RJ
8.1.2020,Monitor,126.9,124.36,Southridge Video,1.0,126.9,124.36,4.0,Brasil - SP
